"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An effective selection policy for load balancing in software DSM","Tyng-Yeu Liang; Ce-Kuen Shieh; Jun-Qi Li","Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan","Proceedings 2000 International Conference on Parallel Processing","6 Aug 2002","2000","","","105","112","Load balance is an area of current research in software distributed shared memory (DSM) systems. When threads are dynamically migrated from heavily loaded nodes to lightly loaded nodes to achieve load balance, the communication cost of maintaining data consistency is increased if migration threads are carelessly selected. Program performance is degraded when loss from increased communication exceeds the benefit from load balancing. Therefore, load balancing requires careful choice of migration threads. This study addresses the problem with a novel selection policy called Reduce Internode Sharing Cost (RISC). The main characteristic of this thread selection policy is simultaneous consideration of both thread memory access types and global sharing. Experimental application of this policy to a DSM system called Cohesion shows that simultaneous consideration of memory access types and global sharing is necessary for thread selection. RISC can reduce 50% data-consistency communication of benchmark applications during execution of the load balance mechanism.","0190-3918","0-7695-0768-9","10.1109/ICPP.2000.876087","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=876087","","Load management;Yarn;Costs;Reduced instruction set computing;Application software;Degradation;Computer networks;User interfaces;Computer interfaces;Distributed computing","distributed shared memory systems;resource allocation;data integrity;software performance evaluation","selection policy;load balancing;software distributed shared memory systems;communication cost;data consistency;program performance;thread selection policy;thread memory access types;global sharing;load balance mechanism","","","7","12","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Understanding why correlation profiling improves the predictability of data cache misses in nonnumeric applications","T. C. Mowry; C. . -K. Luk","Computer Science Department, Carnegie Mellon University, Pittsburgh, PA, USA; Computer Science Department, University of Toronto, Toronto, ONT, Canada","IEEE Transactions on Computers","6 Aug 2002","2000","49","4","369","384","Latency-tolerance techniques offer the potential for bridging the ever-increasing speed gap between the memory subsystem and today's high-performance processors. However, to fully exploit the benefit of these techniques, one must be careful to apply them only to the dynamic references that are likely to suffer cache misses-otherwise the runtime overheads can potentially offset any gains. In this paper, we focus on isolating dynamic miss instances in nonnumeric applications, which is a difficult but important problem. Although compilers cannot statically analyze data locality in nonnumeric applications, one viable approach is to use profiling information to measure the actual miss behavior. Unfortunately, the state-of-the-art in cache miss profiling (which we call summary profiling) is inadequate for references with intermediate miss ratios-it either misses opportunities to hide latency, or else inserts overhead that is unnecessary. To overcome this problem, we propose and evaluate a new profiling technique that helps predict which dynamic instances of a static memory reference will hit or miss in the cache: correlation profiling Our experimental results demonstrate that roughly half of the 21 nonnumeric applications we study can potentially enjoy significant reductions in memory stall time by exploiting at least one of the three forms of correlation profiling we consider: control-flow correlation, self correlation, and global correlation. In addition, our detailed case studies illustrate that self correlation succeeds because a given reference's cache outcomes often contain repeated patterns and control-flow correlation succeeds because cache outcomes are often call-chain dependent. Finally, we suggest a number of ways to exploit correlation profiling in practice and demonstrate that software prefetching can achieve better performance on a modern superscalar processor when directed by correlation profiling rather than summary profiling information.","1557-9956","","10.1109/12.844349","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=844349","","Runtime;Data analysis;Information analysis;Delay;Software performance;Prefetching","cache storage;software performance evaluation;program compilers","correlation profiling;data cache misses;nonnumeric applications;latency-tolerance techniques;memory subsystem;high-performance processors;data locality;control-flow correlation;self correlation;global correlation;software prefetching;superscalar processor;summary profiling","","2","","18","IEEE","6 Aug 2002","","","IEEE","IEEE Journals"
"Object model resurrection-an object oriented maintenance activity","G. V. Subramaniam","Nortel Networks Limited, Richardson, TX, USA","Proceedings of the 2000 International Conference on Software Engineering. ICSE 2000 the New Millennium","6 Aug 2002","2000","","","324","333","This paper addresses the problem of reengineering object-oriented systems that have incurred increased maintenance cost due to long development time-span and project lifecycle. When an Incremental Approach is used to develop an object-oriented system, there is a risk that the class design and the overall object model will deteriorate in quality with each increment. A recent research work suggested a process activity (Class Deterioration Detection and Resurrection-CDDR process activity) and a technique for the detection and resurrection of deteriorated classes. That work focussed on one particular aspect of object-oriented software maintenance-Class Quality Deterioration due to lack of cohesion induced by high coupling. This paper addresses the problem of deteriorating object-oriented design due to code and class growth (increase in the number of classes) within a system. A Code/Class Growth Control process activity (CGC) is suggested to avoid and eliminate Repetitious Code and Classes within the evolving system. The CDDR and CGC process activities are used to build an evolving Maintenance process model for object-oriented systems. The presented maintenance process model is an effective way to periodically assess and resurrect the quality of an object-oriented design during incremental development.","0270-5257","1-58113-206-9","10.1145/337180.337218","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=870423","","Object oriented modeling;Degradation;Costs;Permission;Design optimization;Lakes;Software maintenance;Process control;Control systems;Software systems","software quality;software maintenance;object-oriented programming;systems re-engineering","object model resurrection;object oriented maintenance activity;object-oriented systems reengineering;maintenance cost;project lifecycle;class design;software maintenance;incremental development","","","","17","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Automating delegation in class-based languages","J. Viega; P. Reynolds; R. Behrends","Reliable Software Technol., USA; Department of Computer Science, University of Virginia, USA; Department of Computer Science and Engineering, Michigan State University","Proceedings. 34th International Conference on Technology of Object-Oriented Languages and Systems - TOOLS 34","6 Aug 2002","2000","","","171","182","Some designers of class-based object oriented languages choose not to support multiple inheritance. As a result, programmers often resort to ad hoc workarounds. The most common of these workarounds is delegation. Even delegation is tedious and error prone, however. We believe that language designers who choose against multiple inheritance should consider automating delegation in order to alleviate these problems. In this paper we present Jamie, a language extension for Java that automates delegation. We also discuss the advantages and disadvantages of both delegation and automating it in a class-based programming language. Many of our observations are based on our experiences with implementing and using Jamie.","1530-2067","0-7695-0774-3","10.1109/TOOLS.2000.868969","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=868969","","Java;Computer science;Programming profession;Computer languages;Reliability engineering;Design engineering;Computer errors;Automation;Process design;Concrete","object-oriented languages;object-oriented programming;abstract data types","delegation automation;class-based object oriented languages;Jamie;Java language extension","","2","","21","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Working session: identification of lower-level artifacts [Session intro.]","G. Antoniol",University of Sannio,"Proceedings IWPC 2000. 8th International Workshop on Program Comprehension","6 Aug 2002","2000","","","253","253","Summary form only given. When programmers approach the task of maintaining a software system to modify existing code to correct errors, to add new functionalities or to upgrade it, often their first activity is to build a mentalmodel of the system being studied. In order to understand the organization of a system at different levels of abstractions, maintenance requires the identification of sub-systems, of their functionalities, of their interactions, and of their relation with the different software artifacts. Unfortunately, documentation is often scarce or not up-to-date. Furthermore, since outsourcing has been widely adopted as common practice, people who wrote or maintained a system may no longer be available. Hence, the only reliable source of information about a program is often the program itself. Different approaches and tools have been proposed to help people in building conceptual models of existing systems either at the architectural level or at the code level.","1092-8138","0-7695-0656-9","10.1109/WPC.2000.852502","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=852502","","Programming profession;Software maintenance;Computer languages;Software systems;Error correction codes;Cognitive science;Documentation;Outsourcing;Information resources","","","","","","","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Structured design","W. P. Stevens; G. J. Myers; L. L. Constantive","Data Processing Division, Hartford, CT, USA; System Development Division, Poughkeepsie, NY, USA; Tufts University School of Medicine, Medford, Massachusetts, USA","IBM Systems Journal","6 Apr 2010","1999","38","2.3","231","256","The HIPO Hierarchy chart is being used as an aid during general systems design. The considerations and techniques presented here are useful for evaluating alternatives for those portions of the system that will be programmed on a computer. The charting technique used here depicts more details about the interfaces than the HIPO Hierarchy chart. This facilitates consideration during general program design of each individual connection and its associated passed parameters. The resulting design can be documented with the Hero charts. (If the designer decides to have more than one function in any module, the structure chart should show them in the same block. However, the HIPO Hierarchy chart would still show all the functions in separate blocks.) The output of the general program design is the input for the detailed module design. The HIPO input-process-output chart is useful for describing and designing each module.","0018-8670","","10.1147/sj.382.0231","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5387105","","","","","","19","","","","6 Apr 2010","","","IBM","IBM Journals"
"Extending software quality assessment techniques to Java systems","J. . -F. Patenaude; E. Merlo; M. Dagenais; B. Lague","Department of Electrical and Computer Engineering, Ecole Polytechnique de Montreal, Montreal, QUE, Canada; Department of Electrical and Computer Engineering, Ecole Polytechnique de Montreal, Montreal, QUE, Canada; Department of Electrical and Computer Engineering, Ecole Polytechnique de Montreal, Montreal, QUE, Canada; Quality Engineering and Research (QER) group, Montreal, QUE, Canada","Proceedings Seventh International Workshop on Program Comprehension","6 Aug 2002","1999","","","49","56","The paper presents extensions to Bell Canada source code quality assessment suite (DATRIX tm) for handling Java language systems. Such extensions are based on source code object metrics, including Java interface metrics, which are presented and explained in detail. The assessment suite helps to evaluate the quality of medium-large software systems identifying parts of the system which have unusual characteristics. The paper also studies and reports the occurrence of clones in medium-large Java software systems. Clone presence affects quality since it increases a system size and often leads to higher maintenance costs. The clone identification process uses Java specific metrics to determine similarities between methods throughout a system. The results obtained from experiments with software evaluation and clone detection techniques, on over 500 KLOC of Java source code, are presented.","1092-8138","0-7695-0180-x","10.1109/WPC.1999.777743","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=777743","","Software quality;Java;Cloning;Software performance;Software maintenance;Software tools;Performance analysis;ISO standards;Quality assessment;Electrical capacitance tomography","Java;software quality;software metrics;software performance evaluation;reverse engineering","software quality assessment techniques;Bell Canada source code quality assessment suite;DATRIX;Java language systems;source code object metrics;Java interface metrics;assessment suite;medium-large Java software systems;clone presence;system size;maintenance costs;clone identification process;Java specific metrics;software evaluation;clone detection techniques;KLOC;Java source code","","26","","34","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"A language independent approach for detecting duplicated code","S. Ducasse; M. Rieger; S. Demeyer","Software Composition Group, University of Bern, Bern, Switzerland; Software Composition Group, University of Bern, Bern, Switzerland; Software Composition Group, University of Bern, Bern, Switzerland","Proceedings IEEE International Conference on Software Maintenance - 1999 (ICSM'99). 'Software Maintenance for Business Change' (Cat. No.99CB36360)","6 Aug 2002","1999","","","109","118","Code duplication is one of the factors that severely complicates the maintenance and evolution of large software systems. Techniques for detecting duplicated code exist but rely mostly on parsers, technology that has proven to be brittle in the face of different languages and dialects. In this paper we show that is possible to circumvent this hindrance by applying a language independent and visual approach, i.e. a tool that requires no parsing, yet is able to detect a significant amount of code duplication. We validate our approach on a number of case studies, involving four different implementation languages and ranging from 256 K up to 13 Mb of source code size.","1063-6773","0-7695-0016-1","10.1109/ICSM.1999.792593","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=792593","","Software maintenance;Programming profession;Testing;Read only memory;Gas detectors;Writing;Costs;Computer industry;Software systems;Application software","software maintenance;program processors;program visualisation;software tools","duplicated code detection;language independent approach;large software maintenance;large software evolution;visual approach","","260","5","16","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Evolution of differentiated multi-threaded digital organisms","T. S. Ray; J. Hart","ATR Human Information Processing Research Laboratories, Soraku-gun, Kyoto, Japan; ATR Human Information Processing Research Laboratories, Soraku-gun, Kyoto, Japan","Proceedings 1999 IEEE/RSJ International Conference on Intelligent Robots and Systems. Human and Environment Friendly Robots with High Intelligence and Emotional Quotients (Cat. No.99CH36289)","6 Aug 2002","1999","1","","1","10 vol.1","Presents a descriptive natural history of the results of the evolution of differentiated multi-threaded (multi-cellular) self-replicating machine code programs (digital organisms), living in a network of computers, called the Tierra network. Programs are differentiated in that different threads execute different code (i.e. they express different genes). The seed organism develops into a mature ten-celled form, differentiated into a two-celled reproductive tissue and an eight-celled sensory tissue. The sensory threads obtain data about conditions on the machines in the network, and then process that data to choose the best machine to migrate to or to send the daughter to. Evolution leads to a diversity of algorithms for foraging for resources, primarily CPU time, on the network.","","0-7803-5184-3","10.1109/IROS.1999.812972","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=812972","","Organisms;Yarn;Genomics;Bioinformatics;DNA;Computer networks;Central Processing Unit;Sequences;Cells (biology);Biomembranes","biocybernetics;evolution (biological);multi-threading;artificial life;computer networks;evolutionary computation;biology computing;mathematics computing","differentiated multi-threaded digital organisms;evolution;descriptive natural history;multi-cellular self-replicating machine code programs;computer network;Tierra network;gene expression;seed organism;mature 10-celled form;reproductive tissue;sensory tissue;sensory threads;resource foraging algorithms;CPU time","","1","","13","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Measuring clone based reengineering opportunities","M. Balazinska; E. Merlo; M. Dagenais; B. Lague; K. Kontogiannis","Department of Electrical and Computer Engineering, École Polytechnique de Montréal, Montreal, QUE, Canada; Department of Electrical and Computer Engineering, École Polytechnique de Montréal, Montreal, QUE, Canada; Department of Electrical and Computer Engineering, École Polytechnique de Montréal, Montreal, QUE, Canada; Quality Engineering and Research Group, Bell Canada Limited, Montreal, QUE, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada","Proceedings Sixth International Software Metrics Symposium (Cat. No.PR00403)","6 Aug 2002","1999","","","292","303","Code duplication, plausibly caused by copying source code and slightly modifying it, is often observed in large systems. Clone detection and documentation have been investigated by several researchers in the past years. Recently, research focus has shifted towards the investigation of software and process restructuring actions based on clone detection. This paper presents an original definition of a clone classification scheme useful to assess and measure different system reengineering opportunities. The proposed classification considers each group of cloned methods in terms of the meaning of the differences existing between them. The algorithm used for automatic classification of clones is presented together with results obtained by classifying cloned methods and measuring reengineering opportunities in six freely available systems whose total size is about 500 KLOC of Java code.","","0-7695-0403-5","10.1109/METRIC.1999.809750","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=809750","","Cloning;Pattern matching;Software systems;Size measurement;Java;Software libraries;Electrical capacitance tomography;Programming profession;Documentation;Fingerprint recognition","systems re-engineering;software reusability;software metrics","clone based reengineering;code duplication;system reengineering;clone classification;process restructuring;clone detection","","55","2","22","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
